saliency,type,tobii,observed_stat,new_stat,mean,std,group_size,label_index,condition
k20-thresh0.05-pixcut10-WSSlide316v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide2Group1,6.782011760794327,9.593569519325516,10.100060629098492,0.7618314410089735,17,2,WS
k20-thresh0.05-pixcut10-RSTS1Slide57v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide4Group1,6.501183610577857,9.333177108745357,9.747044576078885,0.6101640779754872,21,4,RSTS1
k20-thresh0.05-pixcut10-WHSSlide13v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide6Group1,5.703807122610308,7.735884329921273,8.433584766934276,1.0503238369490997,20,6,WHS
k20-thresh0.05-pixcut10-CdLSSlide124v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide8Group1,9.801636860044596,14.12339617033204,14.201141157538638,0.4347592007179239,22,8,CdLS
k20-thresh0.05-pixcut10-DownSlide60v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide9Group1,6.526920810937844,8.124872752680577,8.645952970962458,0.8136172871212163,22,9,Down
k20-thresh0.05-pixcut10-KSSlide133v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide11Group1,8.079490035581742,12.37228524561067,12.604544270010116,0.8230270694736392,19,11,KS
k20-thresh0.05-pixcut10-NSSlide7v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide12Group1,7.453503824807939,14.43076475299596,13.854615914341837,0.7961601075449257,21,12,NS
k20-thresh0.05-pixcut10-22q11DSSlide150v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide14Group1,7.239443354609765,9.927373766823798,10.393421882709616,0.5339782085173069,21,14,22q11DS
k20-thresh0.05-pixcut10-PWSSlide44v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide15Group1,7.187971321494152,10.352201649827087,10.587491261693115,0.6798622619886296,16,15,PWS
k20-thresh0.05-pixcut10-BWSSlide17v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-klEfnetOcc,Slide17Group1,7.612786526367737,13.369372603716684,13.401097715131463,0.93761342658053,8,17,BWS
