Recording,Participant,Timeline,TOI,Interval,Media,AOI,Chin,Forehead,L_Cheek,L_Ear,L_Eye,Mouth,Nose,R_Cheek,R_Ear,R_Eye,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,Chin,Chin,,,,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,Forehead,,Forehead,,,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,L_Cheek,,,L_Cheek,,,,,,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,L_Ear,,,,L_Ear,,,,,,,,75,75,75,75,1,3396,75,R_Eye,R_Eye,3.77476,75,75,75,75,1,3396,75,3.77476,75,75,75,75,1,3396,75,117,117,117,117,1,3354,117,0,,,0,,,0,3354,,217.22,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,L_Eye,,,,,L_Eye,,,,,,,458,229,225,233,2,854,225,R_Eye,R_Eye,3.441,233,233,233,233,1,4329,233,3.77533,458,229,225,233,2,854,225,508,254,225,283,2,854,225,0,,,0,,,0,4279,1079,194.15,276.03,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,Mouth,,,,,,Mouth,,,,,,300,300,300,300,1,3054,300,R_Eye,R_Eye,3.89854,300,300,300,300,1,3054,300,3.89854,300,300,300,300,1,3054,300,342,342,342,342,1,3012,342,0,,,0,,,0,3012,3354,238.13,217.22,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,Nose,,,,,,,Nose,,,,,1179,236,142,325,5,0,221,R_Eye,R_Eye,3.8298,958,240,142,325,4,1363,142,3.84186,1221,305,221,400,4,0,221,1338,334,221,425,4,0,221,0,,,0,,,1,1338,221,206.48,164.12,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,R_Cheek,,,,,,,,R_Cheek,,,,0,,,,0,,,R_Eye,R_Eye,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,R_Ear,,,,,,,,,R_Ear,,,650,325,317,333,2,1988,333,R_Eye,R_Eye,3.57435,650,325,317,333,2,1988,333,3.57435,650,325,317,333,2,1988,333,733,367,367,367,2,1954,367,0,,,0,,,0,1954,2321,148.61,293.75,,,,,,,,,,,,,
BAF60a_1,BAF60a,Main Trial,Slide 1,1,Slide 1,R_Eye,,,,,,,,,,R_Eye,,3271,363,113,975,9,254,508,R_Eye,R_Eye,3.53525,1392,278,150,458,5,1113,225,3.67777,3413,488,150,1688,7,254,508,3621,517,192,1721,7,221,542,0,,,0,,,1,221,1338,164.12,206.48,,,,,,,,,,,,,
